Introducer,DeemedOn,IntroductionDate,LawNumber,ActNumber,DocumentUrl,LegislationNumber,Deemed,ShortTitle,LegislationStatus,Subcategory,CouncilPeriod,Id,CommitteeReferralComments,Category,Modified,CommitteeReferral
"Chairman Mendelson and Councilmembers Grosso, R. White, Cheh, Allen, T. White, McDuffie, Bonds, Silverman, Nadeau, Todd, and Gray",,2020-03-17,,A23-0247,http://lims.dccouncil.us/Download/44469/B23-0718-Introduction.pdf,B23-0718,,COVID-19 Response Emergency Amendment Act of 2020,New,Emergency Bill,23,44469,,Bill,2020-03-18,Retained by the Council
Chairman Mendelson,,2020-02-26,,A23-0249,http://lims.dccouncil.us/Download/44289/B23-0676-Introduction.pdf,B23-0676,,"Contract No. NFPHCSUPP-20-C-1 Modifications between the Not-for-Profit Hospital Corporation and Morrison Management Specialist, Inc. Approval and Payment Authorization Emergency Amendment Act of 2020",Enacted,Emergency Bill,23,44289,,Bill,2020-03-18,Retained by the Council
Chairman Mendelson,,2020-02-27,,A23-0250,http://lims.dccouncil.us/Download/44295/B23-0679-Introduction.pdf,B23-0679,,Reunion Square Tax Increment Financing Emergency Act of 2019,Enacted,Emergency Bill,23,44295,,Bill,2020-03-18,Retained by the Council
Councilmembers Allen and Cheh,,2020-03-02,,A23-0251,http://lims.dccouncil.us/Download/44301/B23-0683-Introduction.pdf,B23-0683,,Leave to Vote Emergency Amendment Act of 2020,Enacted,Emergency Bill,23,44301,,Bill,2020-03-18,Retained by the Council
Councilmembers Allen and Nadeau,,2020-03-02,,A23-0252,http://lims.dccouncil.us/Download/44309/B23-0685-Introduction.pdf,B23-0685,,Extreme Risk Protection Order Implementation Working Group Emergency Amendment Act of 2020,Enacted,Emergency Bill,23,44309,,Bill,2020-03-18,Retained by the Council
Councilmember Bonds,,2020-03-03,,A23-0253,http://lims.dccouncil.us/Download/44314/B23-0688-Introduction.pdf,B23-0688,,Reverse Mortgage Insurance and Tax Payment Program Emergency Amendment Act of 2020,Enacted,Emergency Bill,23,44314,,Bill,2020-03-18,Retained by the Council
Chairman Mendelson,2020-03-12,2020-02-28,,,http://lims.dccouncil.us/Download/44307/CA23-0446-Introduction.pdf,CA23-0446,Approved,"Proposed contract with Don Brown Bus Sales, Inc. ",Deemed Approved,Contract,23,44307,,Contract,2020-03-18,Retained by the Council
Chairman Mendelson,2020-03-12,2020-02-28,,,http://lims.dccouncil.us/Download/44306/CA23-0445-Introduction.pdf,CA23-0445,Approved,Proposed contract with General Services Administration (GSA) ,Deemed Approved,Contract,23,44306,,Contract,2020-03-18,Retained by the Council
Chairman Mendelson,2020-03-12,2020-02-28,,,http://lims.dccouncil.us/Download/44305/CA23-0444-Introduction.pdf,CA23-0444,Approved,"Proposed Human Care Agreement to exercise Option Year two (2) with Innovative Life Solutions, Inc. ",Deemed Approved,Contract,23,44305,,Contract,2020-03-18,Retained by the Council
Chairman Mendelson,2020-03-12,2020-02-28,,,http://lims.dccouncil.us/Download/44304/CA23-0443-Introduction.pdf,CA23-0443,Approved,"Proposed Human Care Agreement to exercise Option Year two (2) with Wholistic Home & Community Based Services, Inc.",Deemed Approved,Contract,23,44304,,Contract,2020-03-18,Retained by the Council
Chairman Mendelson,2020-03-06,2020-02-24,,,http://lims.dccouncil.us/Download/44229/CA23-0440-Introduction.pdf,CA23-0440,Approved,Proposed contract for Option Period Three (3) with Food and Friends Inc. ,Deemed Approved,Contract,23,44229,,Contract,2020-03-18,Retained by the Council
"Chairman Mendelson and Councilmembers Grosso, R. White, Cheh, Allen, T. White, McDuffie, Bonds, Silverman, Nadeau, Todd, and Gray",,2020-03-17,,R23-0382,http://lims.dccouncil.us/Download/44468/PR23-0772-Introduction.pdf,PR23-0772,,COVID-19 Response Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44468,,Resolution,2020-03-18,Retained by the Council
"Chairman Mendelson and Councilmembers Grosso, R. White, Cheh, Allen, T. White, McDuffie, Bonds, Silverman, Nadeau, Todd, and Gray",,2020-03-17,,,http://lims.dccouncil.us/Download/44470/B23-0719-Introduction.pdf,B23-0719,,COVID-19 Response Temporary Amendment Act of 2020,New,Temporary Bill,23,44470,,Bill,2020-03-18,Retained by the Council
Councilmember T. White and Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44449/B23-0714-Introduction.pdf,B23-0714,,Ward 8 Senior Housing Fund Establishment Temporary Amendment Act of 2020,Under Council Review,Temporary Bill,23,44449,,Bill,2020-03-17,Retained by the Council
Councilmember Nadeau,,2020-03-17,,,http://lims.dccouncil.us/Download/44473/B23-0721-Introduction.pdf,B23-0721,,Adams Morgan Business Improvement District Amendment Temporary Amendment Act of 2020,New,Temporary Bill,23,44473,,Bill,2020-03-17,Retained by the Council
Councilmember Nadeau,,2020-03-17,,,http://lims.dccouncil.us/Download/44474/B23-0722-Introduction.pdf,B23-0722,,Department of Human Services Personnel Authority Amendment Act of 2020,New,Permanent Bill,23,44474,,Bill,2020-03-17,Committee on Labor and Workforce Development
Chairman Mendelson,2020-06-24,2020-03-05,,,http://lims.dccouncil.us/Download/44361/PR23-0755-Introduction.pdf,PR23-0755,Disapproved,Alcoholic Beverage Regulations Technical Amendments Approval Resolution of 2020,Under Council Review,Proposed Resolution,23,44361,,Resolution,2020-03-17,Committee on Business and Economic Development
Chairman Mendelson,,2020-03-05,,,http://lims.dccouncil.us/Download/44360/PR23-0754-Introduction.pdf,PR23-0754,,"DC Scholars Public Charter School, Inc. Revenue Bonds Project Approval Resolution of 2020",Under Council Review,Proposed Resolution,23,44360,,Resolution,2020-03-17,Committee on Business and Economic Development
Chairman Mendelson,2020-06-24,2020-03-02,,,http://lims.dccouncil.us/Download/44357/PR23-0752-Introduction.pdf,PR23-0752,Disapproved,Clemency Board Michael Eric Dyson Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44357,,Resolution,2020-03-17,Committee on Judiciary and Public Safety
Chairman Mendelson,,2020-03-05,,,http://lims.dccouncil.us/Download/44362/B23-0706-Introduction.pdf,B23-0706,,District of Champions Extension of Hours Amendment Act of 2020,Under Council Review,Permanent Bill,23,44362,,Bill,2020-03-17,Committee on Business and Economic Development
Chairman Mendelson,2020-03-27,2020-03-16,,,http://lims.dccouncil.us/Download/44466/CA23-0464-Introduction.pdf,CA23-0464,Approved,Proposed contract to exercise Option Period One (1) with ICMA Retirement Corporation ,New,Contract,23,44466,,Contract,2020-03-17,Retained by the Council
Chairman Mendelson,,2020-02-28,,R23-0377,http://lims.dccouncil.us/Download/44297/PR23-0744-Introduction.pdf,PR23-0744,,Ghost Guns Prohibition Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44297,,Resolution,2020-03-17,Retained by the Council
Councilmembers Allen and Cheh,,2020-03-02,,R23-0372,http://lims.dccouncil.us/Download/44300/PR23-0745-Introduction.pdf,PR23-0745,,Leave to Vote Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44300,,Resolution,2020-03-17,Retained by the Council
Councilmembers Allen and Nadeau,,2020-03-02,,R23-0371,http://lims.dccouncil.us/Download/44308/PR23-0746-Introduction.pdf,PR23-0746,,Extreme Risk Protection Order Implementation Working Group Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44308,,Resolution,2020-03-17,Retained by the Council
Councilmember McDuffie,,2020-03-03,,R23-0370,http://lims.dccouncil.us/Download/44311/PR23-0747-Introduction.pdf,PR23-0747,,Deputy Mayor for Planning and Economic Development Limited Grant Making Authority for Check It Enterprises Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44311,,Resolution,2020-03-17,Retained by the Council
Chairman Mendelson,,2020-02-27,,R23-0369,http://lims.dccouncil.us/Download/44294/PR23-0743-Introduction.pdf,PR23-0743,,Reunion Square Tax Increment Financing Emergency Declaration Resolution of 2019,Approved,Emergency Declaration Resolution,23,44294,,Resolution,2020-03-17,Retained by the Council
Councilmember Bonds,,2020-03-03,,R23-0366,http://lims.dccouncil.us/Download/44313/PR23-0748-Introduction.pdf,PR23-0748,,Reverse Mortgage Insurance and Tax Payment Program Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44313,,Resolution,2020-03-17,Retained by the Council
Chairman Mendelson,,2020-02-27,,R23-0365,http://lims.dccouncil.us/Download/44252/PR23-0721-Introduction.pdf,PR23-0721,,Substantive Technical Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44252,,Resolution,2020-03-17,Retained by the Council
Chairman Mendelson,,2020-02-26,,R23-0363,http://lims.dccouncil.us/Download/44288/PR23-0740-Introduction.pdf,PR23-0740,,"Contract No. NFPHCSUPP-20-C-1 Modifications between the Not-for-Profit Hospital Corporation and Morrison Management Specialist, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Approved,Emergency Declaration Resolution,23,44288,,Resolution,2020-03-17,Retained by the Council
Chairman Mendelson,2020-03-27,2020-03-16,,,http://lims.dccouncil.us/Download/44464/CA23-0463-Introduction.pdf,CA23-0463,Approved,Proposed contract to exercise Option Year Three (3) with Lutheran Social Services of National Capital Area,New,Contract,23,44464,,Contract,2020-03-16,Retained by the Council
Chairman Mendelson,2020-03-27,2020-03-16,,,http://lims.dccouncil.us/Download/44463/CA23-0462-Introduction.pdf,CA23-0462,Approved,"Proposed contract to exercise Option Year Four (4) with Verizon Federal, Inc. ",New,Contract,23,44463,,Contract,2020-03-16,Retained by the Council
Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44458/PR23-0771-Introduction.pdf,PR23-0771,,Local Rent Supplement Program Contract No. 2019-LRSP-02A Approval Resolution of 2020,Under Council Review,Proposed Resolution,23,44458,,Resolution,2020-03-16,Retained by the Council
Chairman Mendelson,2020-04-29,2020-03-12,,,http://lims.dccouncil.us/Download/44450/CA23-0458-Introduction.pdf,CA23-0458,Disapproved,"Proposed multiyear contract between the District of Columbia Housing Authority (""DCHA"") and ANCHOR PRESERVATION LLC ",Under Council Review,Contract,23,44450,,Contract,2020-03-16,Retained by the Council
Chairman Mendelson,2020-03-30,2020-03-13,,,http://lims.dccouncil.us/Download/44459/GBM23-0068-Introduction.pdf,GBM23-0068,Approved,"FY 2020 Grant Budget Modifications of February 14, 2020",Under Council Review,Grant Budget Modification,23,44459,,Grant Budget Modification,2020-03-16,Retained by the Council
Chairman Mendelson,2020-03-30,2020-03-13,,,http://lims.dccouncil.us/Download/44460/GBM23-0069-Introduction.pdf,GBM23-0069,Approved,"FY 2020 Grant Budget Modifications of February 27, 2020",Under Council Review,Grant Budget Modification,23,44460,,Grant Budget Modification,2020-03-16,Retained by the Council
Chairman Mendelson,2020-03-31,2020-03-16,,,http://lims.dccouncil.us/Download/44462/GBM23-0071-Introduction.pdf,GBM23-0071,Approved,"FY 2020 Grant Budget Modifications of March 10, 2020",New,Grant Budget Modification,23,44462,,Grant Budget Modification,2020-03-16,Retained by the Council
Chairman Mendelson,2020-03-30,2020-03-16,,,http://lims.dccouncil.us/Download/44461/GBM23-0070-Introduction.pdf,GBM23-0070,Approved,"FY 2020 Grant Budget Modifications of March 4, 2020",New,Grant Budget Modification,23,44461,,Grant Budget Modification,2020-03-16,Retained by the Council
Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44457/B23-0716-Introduction.pdf,B23-0716,,"Contract No. DCAM-19-CS-RFQ-0001P and Modification No. 01 with Soil and Land Use Technology, Inc. Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44457,,Bill,2020-03-16,Retained by the Council
Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44456/PR23-0770-Introduction.pdf,PR23-0770,,"Contract No. DCAM-19-CS-RFQ-0001P and Modification No. 01 with Soil and Land Use Technology, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44456,,Resolution,2020-03-16,Retained by the Council
Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44455/B23-0715-Introduction.pdf,B23-0715,,"Contract No. DCAM-19-CS-RFQ-0001W and Modification No. 01 with Capital Construction Group, LLC Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44455,,Bill,2020-03-16,Retained by the Council
Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44454/PR23-0769-Introduction.pdf,PR23-0769,,"Contract No. DCAM-19-CS-RFQ-0001W and Modification No. 01 with Capital Construction Group, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44454,,Resolution,2020-03-16,Retained by the Council
Chairman Mendelson,2020-03-26,2020-03-13,,,http://lims.dccouncil.us/Download/44453/CA23-0461-Introduction.pdf,CA23-0461,Approved,"Proposed Purchase and Sale Agreement by and between the University of the District of Columbia (""University"") and BDC Van Ness, LLC, (Seller) ",Under Council Review,Contract,23,44453,,Contract,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-04,,,http://lims.dccouncil.us/Download/44423/ANC23-0060-Introduction.pdf,ANC23-0060,,ANC 3D Resolution to Increase Insurance Limit for Cars and Scooters,Under Council Review,Advisory Neighborhood Commission,23,44423,,Report,2020-03-13,
Chairman Mendelson,2020-03-26,2020-03-13,,,http://lims.dccouncil.us/Download/44451/CA23-0459-Introduction.pdf,CA23-0459,Approved,Proposed contract with KADCON Corporation ,Under Council Review,Contract,23,44451,,Contract,2020-03-13,Retained by the Council
Chairman Mendelson,2020-03-26,2020-03-13,,,http://lims.dccouncil.us/Download/44452/CA23-0460-Introduction.pdf,CA23-0460,Approved,"Proposed contract with City Construction, LLC ",Under Council Review,Contract,23,44452,,Contract,2020-03-13,Retained by the Council
Chairman Mendelson,2020-05-17,2020-03-11,,,,PR23-0767,Approved,Revised ABRA Civil Penalty Schedule Resolution of 2020,Under Council Review,Proposed Resolution,23,44446,,Resolution,2020-03-13,Committee on Business and Economic Development
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44445/B23-0712-Introduction.pdf,B23-0712,,"Contract No. DCAM-19-CS-RFQ-0001B and Modification No. 01 with Protec Construction, Inc. Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44445,,Bill,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44444/PR23-0766-Introduction.pdf,PR23-0766,,"Contract No. DCAM-19-CS-RFQ-0001B and Modification No. 01 with Protec Construction, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44444,,Resolution,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44442/B23-0711-Introduction.pdf,B23-0711,,"Modifications to Exercise Option Year Four (4) of Contract No. CW35134 with Tax Credit Asset Management, LLC Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44442,,Bill,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44441/PR23-0765-Introduction.pdf,PR23-0765,,"Modifications to Exercise Option Year Four (4) of Contract No. CW35134 with Tax Credit Asset Management, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44441,,Resolution,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-05,,,http://lims.dccouncil.us/Download/44424/PR23-0756-Introduction.pdf,PR23-0756,,"Contract No. DCAM-19-CS-RFQ-0001C and Modification No. 01 with RSC Electrical & Mechanical Contractors, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44424,,Resolution,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-05,,,http://lims.dccouncil.us/Download/44425/B23-0707-Introduction.pdf,B23-0707,,"Contract No. DCAM-19-CS-RFQ-0001C and Modification No. 01 with RSC Electrical & Mechanical Contractors, Inc. Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44425,,Bill,2020-03-13,Retained by the Council
Chairman Mendelson,2020-05-11,2020-03-09,,,http://lims.dccouncil.us/Download/44434/PR23-0761-Introduction.pdf,PR23-0761,Approved,Board of Pharmacy Tamara McCants Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44434,,Resolution,2020-03-13,Committee on Health
Chairman Mendelson,,2020-03-09,,,http://lims.dccouncil.us/Download/44430/PR23-0757-Introduction.pdf,PR23-0757,,Food Policy Council Christopher Bradshaw Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44430,,Resolution,2020-03-13,Committee on Transportation and the Environment
