WithdrawnBy,VendorName,PlaceOfIntroduction,MemoLink,DateRead,AdditionalInformation,RereferralCommitteeComments,ReIntroducer,LawNumber,IntroductionDate,Subcategory,Modified,RequestOf,CommitteeReferralComments,LegislationNumber,LegislationStatus,DocumentUrl,ActNumber,Deemed,CouncilPeriod,Category,WithDrawnDate,CommitteeReferral,ReReferralDate,ReReferralPublishedDate,Introducer,ShortTitle,PlaceRead,IsRereferred,AgendaDate,Id,RereferralCommittee,PublicationDate,ReCoSponsor,DeemedOn
,,Committee of the Whole,http://lims.dccouncil.us/Download/42107/B23-0201_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0201,New,http://lims.dccouncil.us/Download/42107/B23-0201-Introduction.pdf,,,23.0,Bill,,Committee on Government Operations,,,"Councilmembers Todd, Gray, Cheh, and R. White",Office of the Caribbean Affairs Establishment Act of 2019,Committee of the Whole,False,,42107.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42108/B23-0202_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0202,New,http://lims.dccouncil.us/Download/42108/B23-0202-Introduction.pdf,,,23.0,Bill,,Committee on Health,,,"Councilmembers Gray, Cheh, R. White, Nadeau, Grosso, Allen, and Todd",Certified Professional Midwife Act of 2019,Committee of the Whole,False,,42108.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42109/B23-0203_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0203,New,http://lims.dccouncil.us/Download/42109/B23-0203-Introduction.pdf,,,23.0,Bill,,Committee on Human Services,,,"Councilmembers T. White, Allen, Bonds, and Nadeau",Close Relative Caregivers Subsidies Amendment Act of 2019,Committee of the Whole,False,,42109.0,,,,
,"AmeriHealth Caritas District of Columbia, Inc. ",Office of the Secretary,http://lims.dccouncil.us/Download/42093/CA23-0047_Memorandum.pdf,,"The attached proposed contract extension with AmeriHealth Caritas District of Columbia, Inc. in the not-to-exceed amount of $89,177,251.00 to provide healthcare and pharmacy services for its Managed Care Program, consisting of: its Medicaid eligible population enrolled in the District Healthy Families Program (DCHFP) and the District Healthcare Alliance Program (Alliance) and Immigrant Children's Program (ICP) was filed in the Office of the Secretary on March 19, 2017.   

The Council's ten day review begins Wednesday, March 20, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 30, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-19,Contract,2019-03-20,the Mayor,Committee on Health,CA23-0047,New,http://lims.dccouncil.us/Download/42093/CA23-0047-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed contract extension with AmeriHealth Caritas District of Columbia, Inc. ",,False,,42093.0,,,,2019-03-30
,"Amerigroup District of Columbia, Inc. ",Office of the Secretary,http://lims.dccouncil.us/Download/42092/CA23-0046_Memorandum.pdf,,"The attached proposed contract extension with Amerigroup District of Columbia, Inc. in the not-to-exceed amount of $89,177,251.00 to provide healthcare and pharmacy services for its Managed Care Program, consisting of: its Medicaid eligible population enrolled in the District Healthy Families Program (DCHFP) and the District Healthcare Alliance Program (Alliance) and Immigrant Children's Program (ICP) was filed in the Office of the Secretary on March 19, 2017.  
 
The Council's ten day review begins Wednesday, March 20, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 30, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-19,Contract,2019-03-20,the Mayor,Committee on Health,CA23-0046,New,http://lims.dccouncil.us/Download/42092/CA23-0046-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed contract extension with Amerigroup District of Columbia, Inc. ",,False,,42092.0,,,,2019-03-30
,"Trusted Health Plan (District of Columbia), Inc. ",Office of the Secretary,http://lims.dccouncil.us/Download/42094/CA23-0048_Memorandum.pdf,,"The attached proposed contract extension with Trusted Health Plan (District of Columbia), Inc. in the not-to-exceed amount of $89,177,251.00 to provide healthcare and pharmacy services for its Managed Care Program, consisting of: its Medicaid eligible population enrolled in the District Healthy Families Program (DCHFP) and the District Healthcare Alliance Program (Alliance) and Immigrant Children's Program (ICP) was filed in the Office of the Secretary on March 19, 2017.  
 
The Council's ten day review begins Wednesday, March 20, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 30, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-19,Contract,2019-03-20,the Mayor,Committee on Health,CA23-0048,New,http://lims.dccouncil.us/Download/42094/CA23-0048-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed contract extension with Trusted Health Plan (District of Columbia), Inc. ",,False,,42094.0,,,,2019-03-30
,"Sky, LLC dba U.S Office Solutions ",Office of the Secretary,http://lims.dccouncil.us/Download/42096/CA23-0050_Memorandum.pdf,,"The attached proposed contract with Sky, LLC dba U.S Office Solutions in the minimum amount of $10.00 and the not-to-exceed amount of $2,538,833.74 will enable the District to have the flexibility to issue multiple orders for General Office Supplies in a relatively short period of time was filed in the Office of the Secretary on March 19, 2017.   

The Council's ten day review begins Wednesday, March 20, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 30, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-19,Contract,2019-03-20,the Mayor,Committee on Facilities and Procurement,CA23-0050,New,http://lims.dccouncil.us/Download/42096/CA23-0050-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed contract with Sky, LLC dba U.S Office Solutions ",,False,,42096.0,,,,2019-03-30
,,Committee of the Whole,http://lims.dccouncil.us/Download/42099/B23-0194_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0194,New,http://lims.dccouncil.us/Download/42099/B23-0194-Introduction.pdf,,,23.0,Bill,,Committee on Education and Committee of the Whole,,,Councilmember Cheh,Increasing Access to DCTAG Act of 2019,Committee of the Whole,False,,42099.0,,,,
,St. John's Community Services ,Office of the Secretary,http://lims.dccouncil.us/Download/42095/CA23-0049_Memorandum.pdf,,"The attached proposed Human Care Agreement with St. John's Community Services in the not-to-exceed amount of $2,538,833.74 to provide Residential Expenses for people with Intellectual and Developmental Disabilities (IDD) living in supported living, residential habilitation or host home settings was filed in the Office of the Secretary on March 19, 2017.   

The Council's ten day review begins Wednesday, March 20, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 30, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-19,Contract,2019-03-20,the Mayor,Committee on Human Services,CA23-0049,New,,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,Proposed Human Care Agreement with St. John's Community Services ,,False,,42095.0,,,,2019-03-30
,Frontline Community Services ,Office of the Secretary,http://lims.dccouncil.us/Download/42091/CA23-0045_Memorandum.pdf,,"The attached proposed Human Care Agreement to exercise Option Year Two (2) with Frontline Community Services in the amount of $1,217,660.83 to provide Residential Expenses for people with Intellectual Development Disabilities (IDD) living in supported living, residential habilitation or host home settings was filed in the Office of the Secretary on March 19, 2017.   

The Council's ten day review begins Wednesday, March 20, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 30, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-19,Contract,2019-03-20,the Mayor,Committee on Human Services,CA23-0045,New,http://lims.dccouncil.us/Download/42091/CA23-0045-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,Proposed Human Care Agreement to exercise Option Year Two (2) with Frontline Community Services ,,False,,42091.0,,,,2019-03-30
," Health IT 2 Business Solutions, LLC, dba CODICE ",Office of the Secretary,http://lims.dccouncil.us/Download/42015/CA23-0036_Memorandum.pdf,,"The attached proposed contract with Health IT 2 Business Solutions, LLC, dba CODICE in the minimum amount of $10.00 and the not-to-exceed amount of $5,000,000.00 will enable the District to have the flexibility to issue multiple orders for Mission Oriented Business Integrated Services, (MOBIS) in a relatively short period of time was filed in the Office of the Secretary on March 5, 2019.    

The Council's ten day review begins Wednesday, March 6, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 16, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-05,Contract,2019-03-20,the Mayor,Committee on Facilities and Procurement,CA23-0036,Deemed Approved,http://lims.dccouncil.us/Download/42015/CA23-0036-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed contract with Health IT 2 Business Solutions, LLC, dba CODICE ",,False,,42015.0,,,,2019-03-16
,"Sky, LLC dba U.S. Office Solutions ",Office of the Secretary,http://lims.dccouncil.us/Download/42014/CA23-0035_Memorandum.pdf,,"The attached proposed contract with Sky, LLC dba U.S. Office Solutions in the minimum amount of $10.00 and the not-to-exceed amount of $5,000,000.00 will enable the District to have the flexibility to issue multiple orders for Furniture and Furniture Management Services in a relatively short period of time was filed in the Office of the Secretary on March 5, 2019.    

The Council's ten day review begins Wednesday, March 6, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 16, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-05,Contract,2019-03-20,the Mayor,Committee on Facilities and Procurement,CA23-0035,Deemed Approved,http://lims.dccouncil.us/Download/42014/CA23-0035-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed contract with Sky, LLC dba U.S. Office Solutions ",,False,,42014.0,,,,2019-03-16
,"Wholistic Home & Community Based Services, Inc.",Office of the Secretary,http://lims.dccouncil.us/Download/42013/CA23-0034_Memorandum.pdf,,"The attached proposed Human Care Agreement to exercise Option Year two (2) with Wholistic Home & Community Based Services, Inc. in the amount of $1,185,938.50 to provide Residential Expenses for people with intellectual and Development Disabilities (IDD) living in supported living, residential habilitation or host home settings was filed in the Office of the Secretary on March 5, 2019.    

The Council's ten day review begins Wednesday, March 6, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Saturday, March 16, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-05,Contract,2019-03-20,the Mayor,Committee on Human Services,CA23-0034,Deemed Approved,http://lims.dccouncil.us/Download/42013/CA23-0034-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,"Proposed Human Care Agreement to exercise Option Year two (2) with Wholistic Home & Community Based Services, Inc.",,False,,42013.0,,,,2019-03-16
,,Office of the Secretary,http://lims.dccouncil.us/Download/41998/PR23-0179_Memorandum.pdf,2019-03-19,,,,,2019-03-05,Proposed Resolution,2019-03-20,,,PR23-0179,Approved,http://lims.dccouncil.us/Download/41998/PR23-0179-Introduction.pdf,R23-0049,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,Council Reprimand of Councilmember Jack Evans Resolution of 2019,Committee of the Whole,False,,41998.0,,2019-03-08,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42084/PR23-0191_Memorandum.pdf,2019-03-19,,,,,2019-03-13,Proposed Resolution,2019-03-20,the Public Service Commission,Committee on Business and Economic Development,PR23-0191,Under Council Review,http://lims.dccouncil.us/Download/42084/PR23-0191-Introduction.pdf,,Approved,23.0,Resolution,,Committee on Labor and Workforce Development,,,Chairman Mendelson,"Collective Bargaining Agreement between the American Federation of Government Employees, Local 1403, Compensation Unit 34, and the Public Service Commission of the District of Columbia Approval Resolution of 2019 ",Committee of the Whole,False,,42084.0,,,,2019-04-21
,,Office of the Secretary,http://lims.dccouncil.us/Download/42090/CFO23-0004_Memorandum.pdf,,"As required by the Unified Economic Development Budget Transparency and Accountability Act of 2010, the Office of the Chief Financial Officer submits the""Unified Economic Development Budget Report: Fiscal Year 2018 Year-End"" in the Office of the Secretary on March 19, 2019 for your review. Copies are available in the Legislative Services Division in Room 10.",,,,2019-03-19,Chief Financial Officer,2019-03-19,,,CFO23-0004,New,http://lims.dccouncil.us/Download/42090/CFO23-0004-Introduction.pdf,,,23.0,Report,,,,,Chairman Phil Mendelson,Unified Economic Development Budget Report: Fiscal Year 2018 Year-End,,False,,42090.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41704/B23-0075_Memorandum.pdf,2019-01-22,"BILL SUMMARY - As introduced it exempts 2714 Georgia Avenue, N.W. from taxation and to provide equitable tax relief. ",,,,2019-01-17,Permanent Bill,2019-03-19,,,B23-0075,Under Council Review,http://lims.dccouncil.us/Download/41704/B23-0075-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Councilmember Nadeau,Mypheduh Films DBA Sankofa Video and Books Real Property Tax Exemption Act of 2019,Committee of the Whole,True,,41704.0,Committee on Business and Economic Development,2019-01-25,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41705/B23-0076_Memorandum.pdf,2019-01-22,"BILL SUMMARY - As introduced it provides for a real property tax exemption for DC Pancakes, LLC, located at 3100 14th Street, N.W. ",,,,2019-01-17,Permanent Bill,2019-03-19,,,B23-0076,Under Council Review,http://lims.dccouncil.us/Download/41705/B23-0076-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Councilmember Nadeau,14th Street International House of Pancakes Real Property Tax Exemption Act of 2019,Committee of the Whole,True,,41705.0,Committee on Business and Economic Development,2019-01-25,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41706/B23-0077_Memorandum.pdf,2019-01-22,BILL SUMMARY - As introduced it provides real property tax relief to certain property owned by Washington Parks & People. ,,,,2019-01-17,Permanent Bill,2019-03-19,,,B23-0077,Under Council Review,http://lims.dccouncil.us/Download/41706/B23-0077-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Councilmember Nadeau,Washington Parks & People Equitable Real Property Tax Relief Act of 2019,Committee of the Whole,True,,41706.0,Committee on Business and Economic Development,2019-01-25,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/41718/B23-0086_Memorandum.pdf,2019-01-22,BILL SUMMARY - As introduced it adds the Deanwood Town Center to a list of locations eligible for a tax exemption pursuant to the construction of certain eligible businesses. ,,,,2019-01-22,Permanent Bill,2019-03-19,,,B23-0086,Under Council Review,http://lims.dccouncil.us/Download/41718/B23-0086-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,"Councilmembers Gray, Cheh, McDuffie, Evans, R. White, T. White, and Bonds",Supermarket Tax Incentives Eligible Area Amendment Act of 2019 ,Committee of the Whole,True,,41718.0,Committee on Business and Economic Development,2019-01-25,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/41719/B23-0087_Memorandum.pdf,2019-01-22,BILL SUMMARY - As introduced it abates the imposition of taxes on real property known as Park 7 at Minnesota-Benning.,,,,2019-01-22,Permanent Bill,2019-03-19,,,B23-0087,Under Council Review,http://lims.dccouncil.us/Download/41719/B23-0087-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Councilmembers Gray and Bonds,Park 7 at Minnesota-Benning Tax Abatement Act of 2019,Committee of the Whole,True,,41719.0,Committee on Business and Economic Development,2019-01-25,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41781/B23-0110_Memorandum.pdf,2019-02-05,"BILL SUMMARY - As introduced it extends the deadline to terminate the Bryant Street Tax increment Financing Area from March 1, 2019 to March 1, 2020. ",,,,2019-01-31,Permanent Bill,2019-03-19,the Mayor,,B23-0110,Under Council Review,http://lims.dccouncil.us/Download/41781/B23-0110-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Chairman Mendelson,Bryant Street Tax Increment Financing Amendment Act of 2019,Legislative Meeting,True,,41781.0,Committee on Business and Economic Development,2019-02-08,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41792/B23-0113_Memorandum.pdf,2019-02-05,"BILL SUMMARY - As introduced it provides real property tax relief to property located at 3825 South Capitol Street, S.W., and 546 Newcomb Street, S.E.",,,,2019-02-01,Permanent Bill,2019-03-19,,,B23-0113,Under Council Review,http://lims.dccouncil.us/Download/41792/B23-0113-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Councilmember T. White,"Unfoldment, Inc. Real Property Tax Relief Act of 2019",Legislative Meeting,True,,41792.0,Committee on Business and Economic Development,2019-02-08,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42089/RC23-0050_Memorandum.pdf,,"The Office of the Budget Director submits their report entitled ""Keeping the Clean Rivers Impervious Area Charge (CRIAC) Affordable and Equitable: Nine Strategies for Managing the CRIAC's Cost Burden While Ensuring the Clean Rivers Project's Financial Viability' in the Office of the Secretary on March 19, 2019 for your review. Copies are available in the Legislative Services Division in Room 10.",,,,2019-03-19,Other,2019-03-19,,,RC23-0050,New,http://lims.dccouncil.us/Download/42089/RC23-0050-Introduction.pdf,,,23.0,Report,,,,,Office of the Budget Director,Correspondence from the Office of the Budget Director - Keeping the Clean Rivers Impervious Area Charge (CRIAC) Affordable and Equitable: Nine Strategies for Managing the CRIAC's Cost Burden While Ensuring the Clean Rivers Project's Financial Viability,,False,,42089.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41610/B23-0021_Memorandum.pdf,2019-01-22,,,,,2019-01-07,Permanent Bill,2019-03-19,,,B23-0021,Under Council Review,http://lims.dccouncil.us/Download/41610/B23-0021-Introduction.pdf,,,23.0,Bill,,Committee on Finance and Revenue,2019-03-19,2019-03-22,Councilmember Allen,Randall School Museum and Housing Development Real Property Tax Abatement Act of 2019,Committee of the Whole,True,,41610.0,Committee on Business and Economic Development,2019-01-11,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/41999/PR23-0180_Memorandum.pdf,2019-03-05,,,,,2019-03-05,Proposed Resolution,2019-03-19,,,PR23-0180,Under Council Review,http://lims.dccouncil.us/Download/41999/PR23-0180-Introduction.pdf,,,23.0,Resolution,,Committee on Education and Committee of the Whole,,,Councilmembers Cheh and Grosso,"Sense of the Council on School Dress Code and Uniform Polices that Promote Equity, Nondiscrimination, and Respect for Cultural Diversity Resolution of 2019",Legislative Meeting,False,,41999.0,,2019-03-15,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42019/B23-0187_Memorandum.pdf,2019-03-19,"BILL SUMMARY - As introduced it requires health care facilities to add community benefits as a requirement for obtaining or maintaining a certificate of need. Health care facilities would also be required to direct the community benefits to District residents, as a condition of holding or receiving a certificate of need. ",,,,2019-03-05,Permanent Bill,2019-03-19,the Mayor,,B23-0187,Under Council Review,http://lims.dccouncil.us/Download/42019/B23-0187-Introduction.pdf,,,23.0,Bill,,Committee on Health,,,Chairman Mendelson,Community Health Investment Act of 2019,Committee of the Whole,False,,42019.0,,2019-03-15,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42018/B23-0186_Memorandum.pdf,2019-03-19,"BILL SUMMARY - As introduced it establishes mandatory reporting of suspected instances of financial exploitation of seniors and vulnerable adults applicable to banks, credit unions, and other depository and non-depository institutions, insurers, broker dealers and investment advisors.  Among other things it makes regulated entities eligible for immunity from civil and administrative liability for reporting, disclosure, and disbursement delays. ",,,,2019-03-05,Permanent Bill,2019-03-19,the Mayor,Committee on Housing and Neighborhood Revitalization,B23-0186,Under Council Review,http://lims.dccouncil.us/Download/42018/B23-0186-Introduction.pdf,,,23.0,Bill,,Committee on Business and Economic Development,,,Chairman Mendelson,Protection of Seniors and Vulnerable Adults from Financial Exploitation Act of 2019 ,Committee of the Whole,False,,42018.0,,2019-03-15,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42017/B23-0185_Memorandum.pdf,2019-03-19,"BILL SUMMARY - As introduced it enhances the ability of the Department of Insurance, Securities and Banking to protect consumers by licensing and regulating business entities that are not currently regulated.  It adds several new licensing categories and regulatory requirements to non-depository financial institutions, including currency exchangers, debt collectors and retail sellers. ",,,,2019-03-05,Permanent Bill,2019-03-19,the Mayor,,B23-0185,Under Council Review,http://lims.dccouncil.us/Download/42017/B23-0185-Introduction.pdf,,,23.0,Bill,,Committee on Business and Economic Development,,,Chairman Mendelson,Financial Services Consumer Protection Act of 2019,Committee of the Whole,False,,42017.0,,2019-03-15,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42016/B23-0184_Memorandum.pdf,2019-03-19,"BILL SUMMARY - As introduced it prohibits the use of credit history or lack thereof, in decisions by insurers about whether to underwrite a policy, cancel a policy, refuse to renew a policy, or increase the premium for a renewal policy. ",,,,2019-03-05,Permanent Bill,2019-03-19,the Mayor,,B23-0184,Under Council Review,http://lims.dccouncil.us/Download/42016/B23-0184-Introduction.pdf,,,23.0,Bill,,Committee on Business and Economic Development,,,Chairman Mendelson,Restrictions on the Use of Credit Information Amendment Act of 2019,Committee of the Whole,False,,42016.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42012/B23-0183_Memorandum.pdf,2019-03-05,BILL SUMMARY - As introduced it exempts certain nonprofits providing vision screenings to children and youth from the certificate of need process. ,,,,2019-03-05,Permanent Bill,2019-03-19,,Committee on Education and Committee of the Whole,B23-0183,Under Council Review,http://lims.dccouncil.us/Download/42012/B23-0183-Introduction.pdf,,,23.0,Bill,,Committee on Health,,,"Councilmembers T. White, Grosso, Nadeau, Cheh, and Chairman Mendelson",Children and Youth Vision Screening Amendment Act of 2019,Legislative Meeting,False,,42012.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42011/B23-0182_Memorandum.pdf,2019-03-05,BILL SUMMARY - As introduced it expands the definition of an eligible felony with regards to sealing records and makes all misdemeanors eligible for sealing. ,,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0182,Under Council Review,http://lims.dccouncil.us/Download/42011/B23-0182-Introduction.pdf,,,23.0,Bill,,Committee on Judiciary and Public Safety,,,Councilmembers T. White and Gray,Criminal Record Expungement Amendment Act of 2019,Legislative Meeting,False,,42011.0,,2019-03-15,,
